referee_id,referee_name,matches,total_yellow_cards,total_red_cards,total_penalties,yellow_cards_per_match,red_cards_per_match,penalties_per_match
786435,Yasin Kol,21,115,10,9,5.476190476190476,0.47619047619047616,0.42857142857142855
787318,Ali Yilmaz,20,98,4,5,4.9,0.2,0.25
786439,Cihan Aydin,20,98,6,11,4.9,0.3,0.55
787315,Oguzhan Cakir,19,76,4,13,4.0,0.21052631578947367,0.6842105263157895
786429,Adnan Deniz Kayatepe,18,82,2,11,4.555555555555555,0.1111111111111111,0.6111111111111112
787325,Mehmet Turkmen,17,56,2,8,3.2941176470588234,0.11764705882352941,0.47058823529411764
785240,Halil Umut Meler,17,71,6,15,4.176470588235294,0.35294117647058826,0.8823529411764706
786813,Atilla Karaoglan,16,97,6,6,6.0625,0.375,0.375
789270,Batuhan Kolak,15,78,3,11,5.2,0.2,0.7333333333333333
786059,Ali Sansalan,15,75,4,10,5.0,0.26666666666666666,0.6666666666666666
787320,Ozan Ergun,15,84,7,3,5.6,0.4666666666666667,0.2
786032,Kadir Saglam,14,85,4,7,6.071428571428571,0.2857142857142857,0.5
787310,Alper Akarsu,13,53,2,3,4.076923076923077,0.15384615384615385,0.23076923076923078
785543,Cagdas Altay,13,48,3,4,3.6923076923076925,0.23076923076923078,0.3076923076923077
787771,Oguzhan Aksu,11,36,1,1,3.272727272727273,0.09090909090909091,0.09090909090909091
786354,Yigit Arslan,9,39,4,3,4.333333333333333,0.4444444444444444,0.3333333333333333
788207,Omer Tolga Guldibi,8,45,1,1,5.625,0.125,0.125
785374,Umit Ozturk,6,34,1,9,5.666666666666667,0.16666666666666666,1.5
787777,Gurcan Hasova,6,38,0,4,6.333333333333333,0.0,0.6666666666666666
786337,Zorbay Kucuk,5,29,1,3,5.8,0.2,0.6
788005,Resat Onur Coskunses,5,23,1,1,4.6,0.2,0.2
785546,Arda Kardesler,3,19,0,2,6.333333333333333,0.0,0.6666666666666666
787881,Omer Faruk Turtay,3,8,0,0,2.6666666666666665,0.0,0.0
788558,Erdem Mertoglu,3,22,0,0,7.333333333333333,0.0,0.0
787575,Abdullah Bugra Taskinsoy,2,9,0,1,4.5,0.0,0.5
787098,Direnc Tonusluoglu,1,7,0,2,7.0,0.0,2.0
788750,Fatih Tokail,1,10,1,0,10.0,1.0,0.0
789138,Asen Albayrak,1,6,0,1,6.0,0.0,1.0
